Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.34153,162,1,2,0,0,1.756,0.131,0.999977,0.883948,0.735414
m.34157,102,12,17,12,16,2.032,0.5979,1,0.807832,0.798345
m.34189,296,4,6,2,3,-7.903,-1.0194,0.611963,0.88307,0.387481
m.11819,281,2,2,1,1,6.863,1.1254,0.95049,0.620093,0.827944
m.342,284,16,15,10,15,1.735,0.2514,1,0.869851,0.756219
m.34230,432,0,1,0,2,-18.57,-1.6083,0.358925,0.841021,0.205456
m.34307,327,1,1,0,1,-9.12,-1.5121,0.3977,0.846872,0.232524
m.34320,345,5,5,3,4,-4.196,-0.8813,0.679662,0.893736,0.433445
m.34388,510,1,2,1,1,0.257,0.0607,0.999831,0.890893,0.721442
m.34425,200,2,3,3,2,-5.463,-0.8347,0.704067,0.897094,0.44916
m.3444,334,1,1,1,0,-8.892,-1.648,0.343452,0.838762,0.194698
m.34462,419,6,7,5,5,15.38,2.6386,0.138313,0.042152,0.812114
m.11826,566,2,2,2,3,10.847,1.3295,0.889417,0.516898,0.831476
m.34493,172,6,8,5,3,11.893,1.2861,0.905838,0.539801,0.831015
m.34529,167,1,1,0,0,7.3,1.0094,0.971214,0.671988,0.824256
m.34604,140,3,4,1,3,-5.308,-1.1115,0.57074,0.875778,0.357266
m.34605,160,1,1,0,0,13.679,1.8273,0.535854,0.266206,0.82725
m.3462,8400,21,21,5,13,-4.347,-1.5844,0.36837,0.842426,0.212052
m.3463,3039,11,12,5,11,17.408,3.2645,0.019401,0.004383,0.806606
m.34688,318,3,3,1,1,5.523,0.9296,0.98214,0.704239,0.820908
m.34690,147,0,1,0,1,-0.567,-0.0877,0.992884,0.90275,0.687167
m.347,455,42,38,17,21,-1.573,-0.6256,0.815126,0.909114,0.520545
m.34713,109,2,2,1,1,5.296,0.7716,1,0.759785,0.811982
m.10080,526,17,14,14,15,-4.103,-0.5616,0.84712,0.911449,0.542357
m.11831,212,2,2,0,1,2.73,0.3131,1,0.861377,0.765498
m.34768,124,0,0,0,0,-3.309,-0.2697,0.960271,0.91167,0.636726
m.3477,1085,20,26,12,14,-2.831,-0.8829,0.678835,0.893617,0.432907
m.34772,240,0,2,0,0,-3.787,-0.8147,0.714701,0.898477,0.455936
m.348,295,10,10,5,7,2.057,0.1984,1,0.876429,0.74752
m.34960,270,0,1,0,0,2.072,0.1895,1,0.877474,0.74599
m.34991,288,3,4,2,3,0.127,0.02,0.99915,0.894523,0.712693
m.34996,174,1,1,0,0,-5.987,-1.5934,0.3648,0.841893,0.209558
