Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.8246	632	3	0	1	2	0	0	0.269	0.3697	0.560872	0.046705	0.924077
m.8265	286	0	1	3	1	1	0	-0.406	-0.5665	0.981801	0.362073	0.630646
m.834	558	0	3	1	2	1	0	0.310	0.4196	0.456500	0.034218	0.905880
m.8342	908	102	108	67	118	112	77	0.684	4.2790	0.000000	0.000000	0.373524
m.8376	1390	6	10	9	13	20	7	0.815	2.0619	0.000000	0.000000	0.472448
m.842	246	0	0	0	0	2	0	0.062	0.0856	0.978660	0.167747	0.970829
m.8454	243	3	0	0	2	0	4	0.556	0.8125	0.025861	0.001130	0.745152
m.849	171	12	16	9	12	13	7	0.737	1.8770	0.000000	0.000000	0.497187
m.8493	227	0	0	0	0	3	0	0.201	0.2727	0.758246	0.079258	0.952071
m.8509	223	0	1	0	0	0	0	-0.069	-0.0916	0.996735	0.255883	0.956716
m.853	520	3	1	1	1	1	0	-0.087	-0.1070	0.995600	0.262592	0.954696
m.8553	598	0	0	0	0	2	0	0.004	0.0060	0.998995	0.209077	0.966880
m.8574	338	2	0	0	2	2	2	0.453	0.6351	0.125094	0.006527	0.815674
m.858	537	8	10	6	9	11	3	0.836	1.7916	0.000000	0.000000	0.509751
m.859	193	1	0	0	0	0	0	-0.106	-0.1366	0.993635	0.274863	0.950446
m.8594	352	19	16	5	9	7	5	0.973	2.0933	0.000000	0.000000	0.468612
m.860	473	18	24	13	14	30	11	0.550	1.5255	0.000001	0.000000	0.553831
m.8609	175	4	12	13	11	3	0	0.063	0.1490	0.934503	0.135178	0.969594
m.8646	552	1	3	0	3	1	1	0.616	0.8633	0.015154	0.000641	0.726747
m.8649	585	1	0	0	0	2	0	0.084	0.1063	0.967471	0.156974	0.970925
m.865	271	19	35	17	31	27	20	0.896	3.0066	0.000000	0.000000	0.398995
m.8669	206	7	4	2	0	5	0	0.128	0.1741	0.908392	0.122804	0.967746
m.8693	201	0	0	0	0	0	1	-0.041	-0.0524	0.999314	0.237888	0.961349
m.8696	278	6	8	3	7	8	4	1.065	1.8265	0.000000	0.000000	0.504534
m.8703	160	0	1	0	0	1	0	-0.127	-0.1590	0.992595	0.283578	0.946836
m.8709	507	11	20	5	18	19	12	1.630	3.2571	0.000000	0.000000	0.389880
m.873	140	6	13	5	10	6	4	0.984	2.0087	0.000000	0.000000	0.479199
m.8730	570	7	5	3	3	7	4	0.643	1.0788	0.001084	0.000042	0.657529
m.8735	575	2	1	1	4	1	2	0.854	1.3243	0.000028	0.000001	0.594622
m.8740	1003	2	2	3	2	2	2	0.147	0.2467	0.804554	0.089816	0.957529
m.8779	150	1	0	0	0	0	0	-0.085	-0.1117	0.995262	0.264596	0.954056
m.8796	376	12	15	9	13	20	12	0.873	2.0014	0.000000	0.000000	0.480149
m.8799	389	7	25	8	27	12	10	1.525	4.4141	0.000000	0.000000	0.372386
m.8844	218	3	0	0	0	2	0	0.093	0.1261	0.953914	0.146775	0.970578
m.8870	312	26	35	19	33	35	17	0.833	2.9890	0.000000	0.000000	0.399790
m.8872	406	29	35	21	42	31	29	0.967	3.4173	0.000000	0.000000	0.385769
m.8875	267	11	7	5	9	19	8	1.079	2.3635	0.000000	0.000000	0.440434
m.8877	241	15	17	11	19	12	13	0.885	2.4133	0.000000	0.000000	0.436160
m.8880	300	8	2	4	5	0	2	0.350	0.6055	0.155517	0.008449	0.828214
m.8882	347	1	0	1	0	0	0	-0.062	-0.0759	0.997875	0.248827	0.958656
m.8885	757	12	21	8	23	19	13	1.448	3.3927	0.000000	0.000000	0.386339
m.8900	399	41	60	29	47	43	29	0.745	3.0102	0.000000	0.000000	0.398835
m.8901	709	5	3	3	4	9	2	0.800	1.3994	0.000008	0.000000	0.578406
m.8903	180	37	39	28	40	40	23	0.647	2.4837	0.000000	0.000000	0.430535
m.8908	660	2	8	4	6	6	4	0.796	1.5284	0.000001	0.000000	0.553299
m.8913	420	10	8	6	7	8	2	0.613	1.2383	0.000108	0.000004	0.614856
m.8914	480	3	14	7	14	8	7	1.018	2.2393	0.000000	0.000000	0.452305
m.8917	676	70	102	68	113	108	66	0.655	4.6688	0.000000	0.000000	0.370578
m.892	692	3	12	3	4	16	7	1.079	1.8885	0.000000	0.000000	0.495548
m.8924	116	1	4	3	3	3	3	0.478	0.7656	0.041026	0.001860	0.762878
m.8927	151	3	1	5	0	1	4	-0.383	-0.6064	0.940180	0.363981	0.556225
m.8928	359	9	19	12	15	14	13	0.634	1.7547	0.000000	0.000000	0.515393
m.8932	510	19	24	16	25	24	13	0.751	2.4331	0.000000	0.000000	0.434531
m.8936	197	4	5	3	9	5	6	1.332	2.4214	0.000000	0.000000	0.435489
m.8939	146	7	10	6	11	7	6	1.008	2.1486	0.000000	0.000000	0.462136
m.8941	216	11	19	17	20	20	9	0.541	1.6593	0.000000	0.000000	0.530615
m.8943	224	5	4	1	1	1	3	0.182	0.2358	0.822672	0.094455	0.959536
m.8947	2092	11	12	9	13	26	7	0.904	2.1631	0.000000	0.000000	0.460498
m.8953	221	7	9	3	14	8	7	1.697	3.5017	0.000000	0.000000	0.383946
m.8957	494	3	5	2	7	7	5	1.347	2.4177	0.000000	0.000000	0.435794
m.8978	174	1	0	0	0	0	2	0.109	0.1509	0.932706	0.134228	0.969483
m.898	376	0	0	2	0	2	0	-0.125	-0.1662	0.992374	0.286271	0.945587
m.8982	213	0	2	1	3	1	1	0.519	0.7494	0.047763	0.002196	0.769164
m.8984	345	0	0	2	0	2	0	-0.196	-0.2659	0.996819	0.318106	0.921077
m.899	700	3	3	2	1	3	3	0.156	0.2135	0.857078	0.104312	0.963120
m.8991	306	15	13	19	10	16	11	-0.170	-0.4934	0.999971	0.356835	0.747846
m.8997	155	0	0	0	0	0	1	-0.067	-0.0838	0.997302	0.252404	0.957694
m.900	248	56	89	55	90	75	58	0.659	3.8933	0.000000	0.000000	0.377528
m.9006	624	0	0	0	0	3	1	0.210	0.2747	0.754518	0.078477	0.951612
m.9013	389	5	7	4	6	6	4	0.794	1.5598	0.000000	0.000000	0.547635
m.9015	170	17	22	13	14	17	10	0.519	1.5166	0.000001	0.000000	0.555469
m.9021	106	5	3	2	2	6	2	0.637	0.9248	0.007575	0.000310	0.705561
m.9022	1133	59	62	55	86	69	56	0.609	3.4208	0.000000	0.000000	0.385690
m.9023	1893	0	1	1	1	0	2	0.153	0.1992	0.877142	0.110875	0.965049
m.9026	230	4	2	2	3	3	2	0.604	1.0169	0.002452	0.000096	0.675998
m.9034	345	3	9	1	5	6	0	1.202	1.8402	0.000000	0.000000	0.502517
m.904	870	5	8	1	10	5	6	1.861	3.1319	0.000000	0.000000	0.393944
m.9045	703	1	5	2	2	2	0	0.205	0.2814	0.741882	0.075892	0.950037
m.9051	213	13	10	6	16	16	13	1.393	3.0639	0.000000	0.000000	0.396554
m.9052	1364	11	6	19	29	10	33	0.717	2.7312	0.000000	0.000000	0.413665
m.9058	352	28	35	27	34	37	27	0.513	1.9478	0.000000	0.000000	0.487299
m.9062	253	3	0	4	0	1	2	-0.475	-0.6585	0.859554	0.365696	0.455501
m.9072	179	5	3	3	3	5	3	0.512	0.7722	0.038520	0.001737	0.760341
m.9073	508	12	21	12	24	25	10	1.058	2.6880	0.000000	0.000000	0.416351
m.9078	300	2	3	2	1	2	0	-0.111	-0.1456	0.993154	0.278425	0.949042
m.9086	773	24	18	19	18	23	18	0.365	1.1233	0.000587	0.000022	0.644924
m.9089	726	11	5	3	4	7	5	0.820	1.4533	0.000003	0.000000	0.567527
m.9097	494	5	2	2	10	5	8	1.600	2.9365	0.000000	0.000000	0.402285
m.9103	276	0	4	0	4	5	2	1.104	1.6829	0.000000	0.000000	0.526759
m.9104	238	2	0	2	0	0	0	-0.214	-0.2835	0.999104	0.322686	0.914628
m.9109	151	3	5	4	6	5	3	0.725	1.3512	0.000018	0.000001	0.588665
m.911	192	0	1	2	2	1	1	0.023	0.0330	0.995468	0.195196	0.968770
m.9110	140	7	19	11	19	19	11	1.000	2.6596	0.000000	0.000000	0.418170
m.9113	661	0	1	0	2	1	1	0.279	0.3832	0.532307	0.043048	0.919362
m.9119	158	16	31	21	35	25	20	0.776	2.7462	0.000000	0.000000	0.412755
m.912	124	0	1	0	0	1	0	-0.071	-0.0950	0.996476	0.257382	0.956280
m.9122	382	9	6	5	5	9	3	0.550	1.0792	0.001078	0.000041	0.657414
m.9133	155	5	17	9	12	17	8	0.755	1.8017	0.000000	0.000000	0.508230
m.9135	505	12	14	4	14	15	5	1.598	3.1713	0.000000	0.000000	0.392567
m.9137	549	9	5	6	12	7	12	1.175	2.4195	0.000000	0.000000	0.435645
m.9144	101	18	29	22	35	29	27	0.732	2.4609	0.000000	0.000000	0.432307
m.9151	279	9	10	6	9	9	6	0.831	1.6794	0.000000	0.000000	0.527327
m.9152	194	0	0	0	0	0	1	-0.113	-0.1469	0.993087	0.278933	0.948834
m.9155	254	3	1	2	0	1	0	-0.308	-0.4045	0.999993	0.346488	0.843732
m.9167	564	8	13	8	9	11	7	0.616	1.3674	0.000013	0.000000	0.585159
m.9176	257	12	12	8	7	8	5	0.395	0.8328	0.020977	0.000904	0.737698
m.9178	193	1	2	0	2	5	0	0.667	1.0281	0.002122	0.000083	0.672575
m.918	345	42	36	24	41	41	25	0.826	3.0766	0.000000	0.000000	0.396043
m.9181	139	3	6	4	3	9	8	0.500	0.9516	0.005515	0.000223	0.696695
m.9188	352	4	3	4	5	5	3	0.698	1.2113	0.000163	0.000006	0.621598
m.9193	136	0	0	1	1	1	1	-0.110	-0.1472	0.993077	0.279050	0.948786
m.9195	251	0	0	0	2	2	0	0.380	0.5191	0.272788	0.016972	0.865177
m.9199	682	0	2	1	0	0	0	-0.107	-0.1388	0.993499	0.275741	0.950108
m.9200	158	0	1	0	0	2	1	0.090	0.1202	0.958260	0.149800	0.970728
m.9202	127	5	6	4	4	4	2	0.381	0.6609	0.102382	0.005170	0.804879
m.9222	392	1	0	0	1	1	0	-0.102	-0.1276	0.994168	0.271221	0.951795
m.9224	322	1	9	7	9	8	3	0.638	1.4040	0.000007	0.000000	0.577454
m.9226	462	39	68	40	57	64	34	0.549	2.6122	0.000000	0.000000	0.421305
m.923	391	6	1	2	2	7	3	0.634	0.9774	0.004028	0.000161	0.688366
m.924	786	15	9	10	8	12	22	0.412	1.0372	0.001886	0.000074	0.669820
m.9242	256	8	9	6	12	8	6	1.043	2.1507	0.000000	0.000000	0.461897
m.925	826	40	78	36	53	56	39	0.584	2.4922	0.000000	0.000000	0.429886
m.9253	509	3	5	2	3	3	2	0.558	0.8461	0.018232	0.000779	0.732886
m.9267	132	0	0	0	0	1	0	-0.058	-0.0748	0.997961	0.248325	0.958788
m.9269	593	1	0	0	0	1	4	0.361	0.4939	0.314925	0.020479	0.875832
m.9279	376	9	6	4	5	2	1	0.368	0.6366	0.123679	0.006440	0.815043
m.9284	447	12	11	13	19	14	15	0.781	2.3040	0.000000	0.000000	0.445897
m.9290	1260	0	0	0	1	1	0	-0.093	-0.1138	0.995103	0.265485	0.953765
m.9295	226	5	9	5	10	10	5	1.116	2.2098	0.000000	0.000000	0.455393
m.9299	205	5	21	14	22	24	19	0.823	2.3302	0.000000	0.000000	0.443442
m.930	399	0	1	0	1	0	0	-0.061	-0.0782	0.997723	0.249874	0.958379
m.9302	366	2	1	0	1	2	2	0.244	0.3165	0.672384	0.063192	0.940827
m.9307	494	1	2	0	0	0	0	-0.111	-0.1407	0.993411	0.276496	0.949814
m.931	242	1	1	0	0	0	0	-0.094	-0.1180	0.994815	0.267250	0.953177
m.9312	311	3	3	1	3	5	1	0.884	1.2954	0.000044	0.000002	0.601216
m.9319	314	5	5	3	2	8	1	0.350	0.5704	0.197976	0.011329	0.843224
m.9322	625	10	12	8	9	16	10	0.721	1.5272	0.000001	0.000000	0.553519
m.9330	588	12	18	11	17	14	8	0.776	2.1094	0.000000	0.000000	0.466689
m.9331	568	0	2	0	0	0	0	-0.142	-0.1909	0.992107	0.295108	0.940909
m.9340	260	4	3	4	5	7	4	0.741	1.3514	0.000018	0.000001	0.588621
m.9341	306	0	0	1	0	1	4	0.332	0.4209	0.453847	0.033929	0.905380
m.9342	193	10	9	6	6	10	12	0.615	1.1655	0.000321	0.000012	0.633477
m.9363	503	0	1	0	0	2	0	0.164	0.2127	0.858242	0.104674	0.963236
m.9366	437	2	3	2	2	3	1	0.306	0.4587	0.379136	0.026315	0.890394
m.9373	1378	0	0	1	0	0	0	-0.144	-0.1892	0.992108	0.294520	0.941253
m.9386	745	3	3	2	1	5	1	0.207	0.3193	0.666646	0.062241	0.940026
m.9399	268	24	24	21	18	33	9	0.214	0.7301	0.056963	0.002667	0.776759
m.940	484	11	8	4	6	12	4	0.858	1.5977	0.000000	0.000000	0.540996
m.9408	224	3	1	1	0	2	0	0.058	0.0731	0.984071	0.174280	0.970562
m.9411	328	24	27	23	20	37	9	0.207	0.6689	0.096021	0.004802	0.801563
m.9419	124	2	0	1	0	1	1	-0.076	-0.0975	0.996303	0.258478	0.955956
m.9424	545	106	204	116	155	174	84	0.378	2.9872	0.000000	0.000000	0.399873
m.9431	161	1	0	0	0	0	0	-0.078	-0.1022	0.995938	0.260524	0.955339
m.9432	802	3	8	5	10	3	1	0.848	1.8160	0.000000	0.000000	0.506092
m.9443	895	1	0	1	2	5	0	0.662	0.9392	0.006395	0.000260	0.700770
m.9447	704	19	8	10	18	14	12	0.971	2.4111	0.000000	0.000000	0.436343
m.9463	205	0	0	0	3	3	0	0.737	1.1575	0.000360	0.000013	0.635609
m.9470	281	0	0	0	1	1	1	-0.048	-0.0613	0.998819	0.242082	0.960358
m.9472	530	0	2	0	1	0	0	-0.086	-0.1136	0.995114	0.265400	0.953793
m.9474	609	3	3	2	0	5	2	0.245	0.3664	0.567864	0.047631	0.925203
m.9478	1342	83	96	53	87	99	49	0.672	3.4238	0.000000	0.000000	0.385622
m.948	269	11	17	9	19	12	11	1.103	2.8387	0.000000	0.000000	0.407405
m.9482	331	4	4	4	6	5	4	0.770	1.5196	0.000001	0.000000	0.554915
m.949	153	20	19	8	19	14	11	1.236	2.9614	0.000000	0.000000	0.401079
m.9498	636	6	6	5	7	5	6	0.761	1.4507	0.000003	0.000000	0.568038
m.9505	767	1	3	0	1	3	0	0.194	0.2550	0.790225	0.086366	0.955888
m.951	473	1	1	2	0	3	1	0.006	0.0084	0.998780	0.207854	0.967067
m.9511	681	14	17	12	15	18	13	0.705	1.9266	0.000000	0.000000	0.490208
m.9527	577	0	0	5	1	2	0	-0.613	-0.9421	0.238930	0.367604	0.076330
m.9546	175	13	17	12	15	20	5	0.642	1.7645	0.000000	0.000000	0.513882
m.9551	312	1	0	1	2	2	2	0.552	0.7675	0.040291	0.001824	0.762147
m.9557	1256	0	0	0	1	2	0	-0.009	-0.0110	0.999917	0.217665	0.965455
m.9560	412	6	17	9	15	16	4	0.912	2.1580	0.000000	0.000000	0.461071
m.9561	429	9	24	10	22	27	11	1.203	3.2382	0.000000	0.000000	0.390438
m.9566	251	12	11	10	11	13	4	0.500	1.2286	0.000125	0.000005	0.617256
m.9571	451	3	3	1	3	1	2	0.660	0.9524	0.005462	0.000221	0.696434
m.9578	173	13	47	25	40	43	26	0.760	2.8433	0.000000	0.000000	0.407151
m.9583	214	0	0	0	0	1	0	-0.093	-0.1231	0.994471	0.269371	0.952450
m.9587	410	3	3	1	4	3	1	0.962	1.4482	0.000003	0.000000	0.568531
m.9595	223	72	89	53	71	74	66	0.484	2.7675	0.000000	0.000000	0.411483
m.9596	217	0	2	1	2	0	1	0.319	0.4803	0.339034	0.022599	0.881512
m.9604	530	0	0	3	10	10	2	1.409	2.7195	0.000000	0.000000	0.414383
m.9611	446	3	5	2	3	3	2	0.521	0.8242	0.022938	0.000995	0.740840
m.9621	354	1	1	1	0	1	0	-0.022	-0.0301	1.000000	0.227130	0.963667
m.9628	960	13	7	9	9	8	19	0.559	1.3142	0.000033	0.000001	0.596903
m.965	551	32	48	36	46	52	32	0.425	2.0191	0.000000	0.000000	0.477854
m.9652	236	27	30	12	28	26	20	1.157	3.5155	0.000000	0.000000	0.383665
m.9654	1097	0	0	2	0	0	0	-0.317	-0.4063	0.999985	0.346750	0.842234
m.9666	288	1	18	0	7	0	0	1.186	1.9844	0.000000	0.000000	0.482384
m.9689	170	8	24	13	14	25	11	0.561	1.4677	0.000002	0.000000	0.564719
m.9698	154	3	3	1	3	3	1	0.727	1.0672	0.001268	0.000049	0.660907
m.9699	450	33	86	42	77	51	40	0.789	4.0684	0.000000	0.000000	0.375527
m.972	503	2	1	4	0	5	0	-0.186	-0.2829	0.999018	0.322535	0.914862
m.9723	684	20	0	0	0	39	0	1.198	1.7027	0.000000	0.000000	0.523571
m.9726	370	0	0	1	0	1	0	-0.082	-0.1070	0.995600	0.262592	0.954696
m.9734	585	2	1	3	5	3	2	0.670	1.1456	0.000428	0.000016	0.638814
m.9738	222	38	53	36	65	51	33	0.789	3.7794	0.000000	0.000000	0.379085
m.9740	719	0	0	0	0	1	0	-0.037	-0.0468	0.999556	0.235219	0.961953
m.9753	748	31	28	23	22	29	16	0.260	0.9206	0.007955	0.000326	0.706970
m.9774	382	8	8	5	11	10	4	1.118	2.4183	0.000000	0.000000	0.435745
m.9778	264	4	0	0	0	2	2	0.246	0.3333	0.637655	0.057625	0.935878
m.9779	278	9	11	5	6	15	5	0.891	1.6978	0.000000	0.000000	0.524356
m.9807	393	22	27	17	33	24	19	0.996	3.2820	0.000000	0.000000	0.389171
m.9816	202	6	9	5	7	8	7	0.842	1.6510	0.000000	0.000000	0.531987
m.983	610	10	10	7	12	10	5	0.918	2.1314	0.000000	0.000000	0.464111
m.9853	405	4	6	4	3	8	3	0.420	0.7630	0.042050	0.001911	0.763882
m.9855	546	8	8	7	4	13	4	0.206	0.3908	0.516293	0.041082	0.916636
m.9865	419	1	16	9	17	6	12	0.998	2.5964	0.000000	0.000000	0.422379
m.9873	222	13	11	12	12	16	9	0.499	1.2464	0.000095	0.000003	0.612871
m.9878	617	1	2	0	1	1	0	-0.070	-0.0850	0.997231	0.252942	0.957546
m.9881	429	0	7	1	8	0	4	1.521	2.5322	0.000000	0.000000	0.426910
m.9886	890	1	1	0	0	4	3	0.441	0.6346	0.125569	0.006556	0.815885
m.9891	150	6	17	8	10	8	6	0.643	1.5386	0.000001	0.000000	0.551442
m.9927	451	0	1	3	3	5	3	0.511	0.8429	0.018862	0.000808	0.734039
m.9935	160	9	7	5	8	8	5	0.921	1.8561	0.000000	0.000000	0.500199
m.9939	196	13	15	9	14	14	9	0.819	2.1381	0.000000	0.000000	0.463338
m.9955	392	1	0	1	0	3	0	0.226	0.3143	0.676876	0.063946	0.941450
m.9956	418	2	6	3	9	5	4	1.267	2.5286	0.000000	0.000000	0.427173
m.9957	415	42	72	37	77	69	45	0.913	4.3268	0.000000	0.000000	0.373109
m.9972	351	5	1	1	2	6	4	0.810	1.2139	0.000157	0.000006	0.620941
m.9986	274	13	27	10	18	18	11	0.983	2.8333	0.000000	0.000000	0.407705
m.9987	752	0	1	1	0	1	0	-0.063	-0.0774	0.997775	0.249510	0.958476
m.9990	280	3	6	2	7	2	3	1.145	2.0240	0.000000	0.000000	0.477225
NP_851372.1	214	0	6	5	3	9	4	0.329	0.5710	0.197191	0.011274	0.842967
P02769	607	44	54	5	15	5	37	1.487	3.1706	0.000000	0.000000	0.392591
symbB1.EST_k37c20_10131|m.23447	349	0	3	0	1	2	0	0.112	0.1463	0.937008	0.136532	0.969744
symbB1.EST_k37c20_10147|m.23478	4157	2	0	0	0	0	0	-0.033	-0.0449	0.999648	0.234308	0.962155
symbB1.EST_k37c20_10169|m.23529	1177	0	2	1	0	2	0	0.125	0.1591	0.924612	0.130151	0.968950
symbB1.EST_k37c20_10192|m.23590	575	28	49	27	46	39	21	0.757	3.2549	0.000000	0.000000	0.389944
symbB1.EST_k37c20_10199|m.23603	313	0	0	0	2	0	0	0.303	0.4275	0.440451	0.032493	0.902825
symbB1.EST_k37c20_10323|m.23911	157	0	0	1	0	0	0	-0.098	-0.1225	0.994513	0.269123	0.952536
symbB1.EST_k37c20_10343|m.23945	1008	0	0	0	1	1	0	-0.066	-0.0855	0.997197	0.253166	0.957484
symbB1.EST_k37c20_1036|m.2331	146	6	6	4	6	6	3	0.749	1.4072	0.000007	0.000000	0.576794
symbB1.EST_k37c20_10391|m.24050	453	1	0	0	0	1	0	-0.036	-0.0452	0.999636	0.234452	0.962123
symbB1.EST_k37c20_10425|m.24129	905	0	0	0	2	3	0	0.526	0.7600	0.043258	0.001971	0.765042
symbB1.EST_k37c20_10467|m.24205	242	8	6	3	7	9	5	1.247	2.1843	0.000000	0.000000	0.458148
symbB1.EST_k37c20_10470|m.24210	575	14	22	15	29	35	13	0.978	3.2472	0.000000	0.000000	0.390170
symbB1.EST_k37c20_10559|m.24436	112	6	8	3	4	6	2	0.674	1.0467	0.001665	0.000065	0.666969
symbB1.EST_k37c20_10757|m.24896	192	0	2	1	4	0	0	0.738	1.1435	0.000441	0.000017	0.639383
symbB1.EST_k37c20_10761|m.24906	1399	2	0	0	1	2	0	0.105	0.1284	0.952152	0.145599	0.970508
symbB1.EST_k37c20_10931|m.25343	629	0	1	1	0	4	1	0.327	0.4359	0.423597	0.030731	0.899532
symbB1.EST_k37c20_10940|m.25370	258	1	2	1	1	3	0	0.289	0.3737	0.552397	0.045599	0.922698
symbB1.EST_k37c20_10952|m.25393	404	8	25	12	19	24	2	0.847	2.1690	0.000000	0.000000	0.459838
symbB1.EST_k37c20_10986|m.25440	907	2	1	1	1	1	1	-0.086	-0.1135	0.995119	0.265358	0.953807
symbB1.EST_k37c20_11005|m.25482	479	1	4	3	3	7	0	0.500	0.8170	0.024701	0.001076	0.743488
symbB1.EST_k37c20_11023|m.25500	171	2	4	0	0	7	1	0.492	0.6965	0.076399	0.003703	0.790247
symbB1.EST_k37c20_11093|m.25600	539	0	0	1	0	0	0	-0.086	-0.1108	0.995325	0.264214	0.954179
symbB1.EST_k37c20_11120|m.25660	115	1	2	1	1	1	0	-0.052	-0.0665	0.998508	0.244504	0.959763
symbB1.EST_k37c20_1113|m.2530	766	0	0	0	0	0	1	-0.174	-0.2128	0.992600	0.302417	0.936134
symbB1.EST_k37c20_11157|m.25744	424	3	5	2	4	5	1	0.736	1.2396	0.000106	0.000004	0.614536
symbB1.EST_k37c20_11167|m.25766	809	3	0	0	0	0	0	-0.094	-0.1197	0.994697	0.267960	0.952937
symbB1.EST_k37c20_1118|m.2546	515	0	5	2	0	3	1	-0.045	-0.0600	0.998906	0.241473	0.960505
symbB1.EST_k37c20_11223|m.25887	300	8	8	4	6	7	1	0.752	1.4089	0.000007	0.000000	0.576445
symbB1.EST_k37c20_11225|m.25889	304	6	7	4	6	6	1	0.745	1.4258	0.000005	0.000000	0.573003
symbB1.EST_k37c20_11228|m.25893	552	11	9	7	10	9	8	0.856	1.8515	0.000000	0.000000	0.500867
symbB1.EST_k37c20_11294|m.26043	197	4	0	1	0	0	0	-0.109	-0.1410	0.993395	0.276615	0.949767
symbB1.EST_k37c20_11310|m.26082	319	0	3	0	3	2	2	0.837	1.3460	0.000019	0.000001	0.589803
symbB1.EST_k37c20_11455|m.26411	1474	0	0	0	1	0	0	-0.080	-0.1028	0.995903	0.260783	0.955259
symbB1.EST_k37c20_11647|m.26881	1309	5	6	4	1	4	1	-0.219	-0.3389	0.999997	0.335177	0.888553
symbB1.EST_k37c20_1169|m.2671	307	19	26	15	21	25	11	0.683	2.1057	0.000000	0.000000	0.467129
symbB1.EST_k37c20_11748|m.27081	218	3	3	4	1	6	2	-0.044	-0.0683	0.998390	0.245337	0.959554
symbB1.EST_k37c20_1205|m.2729	1575	0	0	0	0	1	0	-0.052	-0.0621	0.998770	0.242456	0.960268
symbB1.EST_k37c20_1214|m.2760	628	3	4	2	4	8	1	0.985	1.6448	0.000000	0.000000	0.533016
symbB1.EST_k37c20_12183|m.28077	1063	0	0	1	0	1	0	-0.111	-0.1411	0.993389	0.276654	0.949751
symbB1.EST_k37c20_12382|m.28477	637	3	3	3	0	4	0	-0.072	-0.1083	0.995507	0.263148	0.954520
symbB1.EST_k37c20_12505|m.28763	643	3	0	2	3	1	2	0.374	0.5408	0.239304	0.014356	0.855913
symbB1.EST_k37c20_12510|m.28784	721	0	1	0	1	0	1	-0.114	-0.1397	0.993457	0.276099	0.949969
symbB1.EST_k37c20_12680|m.29198	525	10	10	4	7	7	2	0.909	1.7923	0.000000	0.000000	0.509646
symbB1.EST_k37c20_12707|m.29253	798	3	5	2	1	7	3	0.379	0.5625	0.208510	0.012080	0.846612
symbB1.EST_k37c20_12744|m.29335	1525	0	2	2	2	2	0	0.202	0.3026	0.700493	0.068050	0.944663
symbB1.EST_k37c20_12800|m.29466	454	4	6	4	5	9	1	0.761	1.4591	0.000003	0.000000	0.566391
symbB1.EST_k37c20_12825|m.29527	152	2	6	2	1	4	0	0.079	0.1098	0.965284	0.155162	0.970896
symbB1.EST_k37c20_12867|m.29616	484	0	3	0	0	0	0	-0.075	-0.0965	0.996381	0.258041	0.956086
symbB1.EST_k37c20_12955|m.29796	346	0	0	1	3	3	1	0.714	1.0403	0.001811	0.000071	0.668887
symbB1.EST_k37c20_1299|m.3029	408	1	0	0	0	0	0	-0.037	-0.0473	0.999537	0.235458	0.961899
symbB1.EST_k37c20_13154|m.30282	1331	0	2	0	6	0	2	1.169	1.8687	0.000000	0.000000	0.498378
symbB1.EST_k37c20_13261|m.30515	293	3	3	3	2	1	0	-0.151	-0.2195	0.992899	0.304555	0.934532
symbB1.EST_k37c20_1341|m.3121	1178	0	0	0	0	0	2	0.123	0.1579	0.925832	0.130745	0.969033
symbB1.EST_k37c20_13415|m.30843	225	0	0	0	0	0	1	-0.138	-0.1669	0.992356	0.286530	0.945463
symbB1.EST_k37c20_13424|m.30860	415	6	9	3	5	5	2	0.771	1.4128	0.000006	0.000000	0.575645
symbB1.EST_k37c20_1348|m.3129	292	1	3	2	3	5	2	0.712	1.0708	0.001208	0.000047	0.659855
symbB1.EST_k37c20_1354|m.3133	977	0	0	0	1	0	0	-0.066	-0.0900	0.996863	0.255173	0.956919
symbB1.EST_k37c20_13582|m.31194	623	0	1	0	0	0	0	-0.079	-0.1064	0.995637	0.262334	0.954777
symbB1.EST_k37c20_1360|m.3153	108	6	5	4	7	6	4	0.956	1.8875	0.000000	0.000000	0.495690
symbB1.EST_k37c20_13656|m.31352	408	0	1	0	0	1	0	-0.066	-0.0773	0.997781	0.249465	0.958488
symbB1.EST_k37c20_13730|m.31514	220	3	2	1	0	1	1	-0.005	-0.0067	0.999755	0.215506	0.965831
symbB1.EST_k37c20_13783|m.31626	324	3	0	2	3	2	2	0.537	0.8726	0.013689	0.000576	0.723467
symbB1.EST_k37c20_13911|m.31899	259	0	1	1	0	2	0	-0.002	-0.0031	0.999587	0.213691	0.966138
symbB1.EST_k37c20_13945|m.31959	330	0	0	1	1	2	0	-0.003	-0.0033	0.999600	0.213792	0.966121
symbB1.EST_k37c20_13959|m.31994	111	6	6	2	6	5	2	1.125	1.9264	0.000000	0.000000	0.490236
symbB1.EST_k37c20_13986|m.32038	619	3	4	1	2	6	2	0.791	1.1400	0.000463	0.000017	0.640335
symbB1.EST_k37c20_14167|m.32423	521	6	1	1	1	1	0	-0.001	-0.0007	0.999464	0.212478	0.966338
symbB1.EST_k37c20_14185|m.32452	344	0	2	0	0	0	0	-0.106	-0.1278	0.994152	0.271303	0.951765
symbB1.EST_k37c20_14266|m.32618	690	4	1	2	2	3	2	0.426	0.6283	0.131660	0.006931	0.818542
