Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.11786	188	0	0	2	1	3	3	0.198	0.2795	0.745489	0.076620	0.950490
m.11819	281	9	18	8	12	10	6	0.703	1.7181	0.000000	0.000000	0.521121
m.11820	1432	0	2	3	1	3	0	-0.215	-0.2860	0.999459	0.323312	0.913639
m.11826	566	0	4	2	1	3	2	0.062	0.0871	0.977952	0.166964	0.970851
m.11828	346	1	0	1	1	3	0	0.125	0.1628	0.920782	0.128325	0.968681
m.11831	212	20	8	8	7	13	5	0.411	0.9825	0.003782	0.000151	0.686743
m.11832	897	20	26	14	23	26	11	0.882	2.5068	0.000000	0.000000	0.428785
m.11842	252	2	0	3	1	0	1	-0.513	-0.7391	0.684850	0.367109	0.308361
m.11872	568	0	1	0	2	1	0	0.289	0.3811	0.536741	0.043603	0.920107
m.11876	224	0	2	0	3	2	2	0.732	1.0663	0.001283	0.000050	0.661170
m.1188	293	8	11	6	10	13	11	1.046	2.0876	0.000000	0.000000	0.469300
m.11898	748	0	0	0	0	3	1	0.243	0.3174	0.670545	0.062886	0.940571
m.11907	647	0	0	0	0	0	1	-0.073	-0.0906	0.996811	0.255439	0.956843
m.11921	315	1	1	1	0	0	0	-0.112	-0.1376	0.993580	0.275263	0.950293
m.11924	283	0	0	3	1	2	0	-0.326	-0.4506	0.999978	0.352484	0.799939
m.11933	202	2	2	1	3	3	1	0.726	1.1358	0.000492	0.000019	0.641482
m.11971	202	0	0	0	1	2	0	0.031	0.0420	0.993616	0.190521	0.969286
m.11993	245	0	0	1	0	0	1	-0.054	-0.0705	0.998251	0.246352	0.959297
m.11995	326	14	8	4	11	7	7	1.331	2.7120	0.000000	0.000000	0.414847
m.12002	156	3	4	2	3	5	4	0.809	1.3357	0.000023	0.000001	0.592077
m.12007	433	8	11	14	16	17	13	0.538	1.5348	0.000001	0.000000	0.552132
m.12009	511	1	8	2	6	7	4	1.272	2.2013	0.000000	0.000000	0.456303
m.12028	524	1	3	0	0	1	0	-0.066	-0.0810	0.997518	0.251142	0.958039
